date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:23:48	66060/66060	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2009:40:58%20GMT	http://tuongnam.com.vn/kobolg/assets/images/insta15.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/insta15.jpg	(from http://tuongnam.com.vn/kobolg/home-05.html)
08:23:52	81456/81456	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Apr%202020%2004:56:02%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide61.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide61.jpg	(from http://tuongnam.com.vn/kobolg/home-06.html)
08:23:52	78055/78055	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Apr%202020%2009:00:32%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide62.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide62.jpg	(from http://tuongnam.com.vn/kobolg/home-06.html)
08:23:54	35449/35449	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:44:30%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro1211-2-592x592.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro1211-2-592x592.jpg	(from http://tuongnam.com.vn/kobolg/home-06.html)
08:23:55	67211/67211	---M--	200	added ('OK')	image/jpeg	date:Sun,%2026%20Apr%202020%2010:36:02%20GMT	http://tuongnam.com.vn/kobolg/assets/images/slide63.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/slide63.jpg	(from http://tuongnam.com.vn/kobolg/home-06.html)
08:24:00	51030/51030	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:45:28%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro1221-2-592x592.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro1221-2-592x592.jpg	(from http://tuongnam.com.vn/kobolg/home-06.html)
08:24:00	3673/3673	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:45:40%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro1221-2-90x90.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro1221-2-90x90.jpg	(from http://tuongnam.com.vn/kobolg/home-06.html)
08:24:01	47569/47569	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:46:02%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro1231-2-592x592.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro1231-2-592x592.jpg	(from http://tuongnam.com.vn/kobolg/home-06.html)
08:24:01	3390/3390	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:46:16%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro1231-2-90x90.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro1231-2-90x90.jpg	(from http://tuongnam.com.vn/kobolg/home-06.html)
08:24:09	24523/24523	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:02:30%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro161-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro161-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:13	36022/36022	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2003:44:14%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro1211-2-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro1211-2-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:16	36651/36651	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:01:38%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro171-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro171-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
08:24:16	22153/22153	---M--	200	added ('OK')	image/jpeg	date:Tue,%2003%20Mar%202020%2004:05:08%20GMT	http://tuongnam.com.vn/kobolg/assets/images/apro41-1-600x778.jpg	C:/Mes%20Sites%20Web/technology/tuongnam.com.vn/kobolg/assets/images/apro41-1-600x778.jpg	(from http://tuongnam.com.vn/kobolg/shop.html)
